"global_run_id","run_id","accuracy","sensibilidad","especificidad","kappa","energy_consumed","gen_bacthsize","gen_epochs","gen_lr","gen_act_1","gen_act_2","gen_act_3","initdate","enddate","duration","co2_emissions","meter","cpu_energy","gpu_energy","ram_energy","tracking_mode","gpu_usage","architecture","epochs_reached"
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",b7280a94-d585-46d7-999e-85456065fa2e,81.83439,0,0,0.7981489,0.10598739,64,90,0.001,"","","","2024-03-19T08:24:39","2024-03-19T08:44:38",1198.9064,0.020547034,codecarbon_filter,0.019850373,0.07028224,0.015854776,machine,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",b337fee1-1975-4e5c-a420-1df5600cf465,81.83439,0,0,0.7981489,0.11545264,64,90,0.001,"","","","2024-03-19T08:24:39","2024-03-19T08:44:38",1198.8035,0.022381995,codecarbon,0.019977888,0.07963148,0.015843272,machine,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c","901fa7bc-9873-4e3c-b017-eddf5add9b75",81.83439,0,0,0.7981489,0.13374396,64,90,0.001,"","","","2024-03-19T08:24:40","2024-03-19T08:44:38",1198.0,,openzmeter,0.0,0.0,0.0,machine,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",fb37bcb3-6d3b-4088-85b1-7b3bea2b76f8,81.83439,0,0,0.7981489,0.08646181,64,90,0.001,"","","","2024-03-19T08:24:40","2024-03-19T08:44:38",1198.1703,0.017250428,eco2ai,0.0,0.0,0.0,process,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",c023e710-d43d-4e3b-8b5a-60349d98e038,81.83439,0,0,0.7981489,0.15247472,64,90,0.001,"","","","2024-03-19T08:24:40","2024-03-19T08:44:38",1198.0,0.02577348,carbontracker,0.0,0.0,0.0,machine,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",a369509c-afe2-47c3-9b62-a13bbd851219,81.83439,0,0,0.7981489,0.09223104,64,90,0.001,"","","","2024-03-19T08:24:39","2024-03-19T08:44:39",1199.1184,0.017880186,codecarbon_proc_filter,0.019980714,0.07028754,0.0019627823,process,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c","558901f1-7f3f-4521-ae0a-892fa90b72da",81.83439,0,0,0.7981489,0.10165973,64,90,0.001,"","","","2024-03-19T08:24:39","2024-03-19T08:44:39",1199.0265,0.019708062,codecarbon_proc,0.019979844,0.079638675,0.0020412179,process,0,resnet18,68
"0e9d5169-97e2-426b-ab49-1583ed2bef2c",c023e710-d43d-4e3b-8b5a-60349d98e038,81.83439,0,0,0.7981489,0.1367405,64,90,0.001,"","","","2024-03-19T08:24:40","2024-03-19T08:44:38",1198.0,0.023113856,carbontracker_proc,0.0,0.0,0.0,process,0,resnet18,68
"149b1d4d-9bdf-4719-a444-a33ecf004057","027b088f-8507-40a9-b669-5fac1641af29",67.592354,0,0,0.6399218,0.077301696,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:13",1201.2493,0.014985938,codecarbon_proc,0.020354455,0.0549535,0.0019937349,process,0,alexnet,81
"149b1d4d-9bdf-4719-a444-a33ecf004057",eb588785-7151-40f5-853e-dfc0edeec833,67.592354,0,0,0.6399218,0.067803234,64,90,0.001,"","","","2024-03-18T05:44:11","2024-03-18T06:04:13",1201.5201,0.013144539,codecarbon_proc_filter,0.020357894,0.045614813,0.0018305304,process,0,alexnet,81
